shot,shot position,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product weight g
17,2,801.41315,0.82200,28.24119,670.58118,670.58118,0.36000,20.18320,1.99200,187.10001,192.50000,198.60001,205.00000,210.00000,40.40000,0.66600,14.597
18,2,801.41315,0.88000,28.24119,663.00397,663.00397,0.36000,20.12714,2.00800,187.30000,192.30000,198.50000,205.00000,210.00000,40.20000,0.66400,14.597
19,2,801.41315,0.70600,28.24119,664.84973,664.84973,0.36000,20.12204,1.98800,187.50000,192.60001,198.60001,204.80000,210.00000,40.20000,0.66200,14.604
20,2,801.41315,0.75800,28.24119,667.27832,667.27832,0.36000,20.18830,1.99400,187.60001,192.80000,198.80000,204.80000,210.00000,40.00000,0.65800,14.605
21,2,801.59760,0.83000,28.24119,663.68402,663.68402,0.36000,20.14753,1.99200,187.80000,192.60001,198.80000,204.80000,210.00000,40.20000,0.66400,14.601
22,2,801.41315,0.74600,28.24119,652.80396,652.80396,0.36000,20.11695,1.98400,188.10001,192.60001,199.00000,204.80000,209.80000,40.20000,0.66600,14.605
23,2,801.41315,0.85600,28.24119,659.02112,658.63251,0.36000,20.13733,2.00000,188.30000,193.00000,198.80000,204.80000,210.00000,40.20000,0.66200,14.605
24,2,801.41315,0.79000,28.24119,656.10681,656.10681,0.36000,20.04049,2.01600,188.50000,193.10001,199.00000,205.00000,210.00000,40.50000,0.66200,14.602
25,2,801.41315,0.84000,28.24119,660.08966,660.08966,0.36000,20.07617,2.01800,188.60001,193.30000,199.10001,205.00000,210.00000,40.50000,0.66600,14.598
26,2,801.22870,0.69200,28.24119,659.99255,659.89539,0.36000,20.11695,2.01600,188.60001,193.30000,199.30000,205.00000,210.00000,40.50000,0.66000,14.600
27,2,801.59760,0.77000,28.24119,651.92963,651.92963,0.36000,20.12204,1.98800,188.60001,193.50000,199.30000,205.00000,210.00000,40.70000,0.66000,14.604
28,2,801.41315,0.74200,28.24119,660.67255,660.67255,0.36000,20.12204,1.98800,188.80000,193.60001,199.30000,205.00000,210.00000,40.70000,0.66400,14.607
29,2,801.41315,0.88200,28.24119,652.70679,652.70679,0.36000,20.01501,1.99800,188.80000,193.60001,199.30000,205.00000,210.00000,40.90000,0.66400,14.609
30,2,801.59760,0.94400,28.24119,661.06110,661.06110,0.36000,20.11185,2.00800,188.80000,193.80000,199.60001,205.00000,210.00000,40.70000,0.66800,14.616
31,2,801.41315,0.69200,28.24119,654.74677,654.74677,0.36000,20.07107,2.01000,188.60001,193.80000,199.30000,205.10001,210.00000,40.90000,0.66600,14.604
32,2,801.59760,0.94400,28.24119,642.70099,642.70099,0.36000,20.10675,1.98800,188.80000,194.10001,199.60001,205.00000,210.00000,40.90000,0.66600,14.607
33,2,801.41315,0.77600,28.24119,640.85529,640.85529,0.36000,20.07617,1.98000,189.00000,194.30000,199.60001,205.00000,210.00000,41.00000,0.66200,14.609
34,2,801.22870,0.77600,28.24119,647.07245,647.07245,0.36000,20.13733,1.98000,189.10001,194.60001,199.60001,205.00000,210.00000,41.00000,0.66200,14.606
35,2,801.22870,0.75200,28.24119,639.88385,639.88385,0.36000,20.10675,1.98000,189.30000,194.60001,199.80000,205.00000,210.00000,41.20000,0.66800,14.608
36,2,801.59760,0.95800,28.24119,640.56384,640.56384,0.36000,20.12204,1.96200,189.10001,194.60001,199.80000,205.00000,210.00000,41.20000,0.66200,14.608
37,2,801.59760,1.00400,28.24119,635.60956,635.60956,0.36000,20.09146,1.97000,189.10001,194.60001,199.60001,205.00000,210.00000,41.20000,0.66400,14.613
38,2,801.41315,0.90000,28.24119,632.98669,632.98669,0.36000,20.13224,1.98000,189.30000,194.60001,199.60001,205.10001,210.00000,41.20000,0.66400,14.608
39,2,801.59760,1.05400,28.24119,638.62097,638.32953,0.36000,20.10675,1.97200,189.30000,194.60001,199.80000,205.00000,210.00000,41.20000,0.66400,14.613
40,2,801.59760,0.86000,28.24119,633.18097,633.18097,0.36000,20.11695,1.98400,189.50000,194.60001,200.00000,205.00000,210.00000,41.40000,0.66600,14.612
41,2,801.59760,0.94600,28.24119,635.80383,635.70667,0.36000,20.09656,1.97800,189.50000,194.60001,199.80000,205.00000,210.00000,41.50000,0.66200,14.607
42,2,801.59760,1.05200,28.24119,633.08380,633.08380,0.36000,20.11695,1.97400,189.50000,194.60001,199.60001,205.00000,209.80000,41.40000,0.66600,14.613
43,2,801.59760,0.74600,28.24119,636.77527,636.67810,0.36000,20.11185,1.98800,189.60001,194.60001,199.80000,205.00000,209.80000,41.50000,0.66600,14.613
44,2,801.22870,0.75000,28.24119,629.10095,629.10095,0.36000,20.05069,1.97400,189.60001,194.60001,199.80000,205.00000,209.80000,41.50000,0.66200,14.610
45,2,801.59760,1.07600,28.24119,632.79236,632.79236,0.36000,20.06088,1.98800,189.60001,194.60001,199.80000,205.00000,209.80000,41.70000,0.66400,14.609
46,2,801.41315,1.00600,28.24119,633.37524,633.37524,0.36000,20.13733,1.98600,189.80000,194.60001,199.80000,205.00000,209.80000,41.70000,0.66200,14.614
47,2,801.78204,0.84400,28.24119,634.05524,634.05524,0.36000,20.11695,1.96600,190.00000,194.80000,199.80000,204.80000,209.80000,41.70000,0.67000,14.607
48,2,801.41315,1.07200,28.24119,631.62665,631.62665,0.36000,20.07107,1.98000,190.00000,194.60001,199.80000,205.00000,209.80000,41.90000,0.66400,14.617
49,2,801.41315,1.02400,28.24119,635.80383,635.80383,0.36000,20.05578,1.98800,190.00000,194.60001,200.00000,205.00000,209.80000,41.90000,0.66200,14.616
50,2,801.41315,1.07800,28.24119,641.92389,641.92389,0.36000,20.06088,1.99600,190.00000,194.50000,200.10001,205.00000,209.80000,42.00000,0.66800,14.612
51,2,801.04431,0.90200,28.24119,632.01526,632.01526,0.36000,19.99462,1.97200,190.00000,194.30000,200.10001,205.10001,209.80000,42.00000,0.66400,14.614
52,2,801.22870,0.84000,28.24119,646.78101,646.78101,0.36000,20.04049,1.99200,190.00000,194.60001,200.10001,205.00000,209.80000,42.00000,0.66200,14.609
53,2,801.04431,0.84600,28.24119,650.66675,650.66675,0.36000,20.09146,1.99400,190.10001,194.80000,200.00000,205.00000,209.80000,42.00000,0.66000,14.616
54,2,801.04431,1.17600,28.24119,646.48962,646.48962,0.36000,20.03030,1.97600,190.10001,194.60001,199.80000,205.00000,209.80000,42.20000,0.66400,14.610
55,2,801.22870,1.03600,28.24119,644.64386,644.64386,0.36000,20.06598,1.97000,190.00000,195.00000,199.80000,204.80000,209.80000,42.20000,0.66600,14.611
56,2,801.04431,0.74600,28.24119,637.84381,636.77527,0.36000,20.07617,1.99000,190.00000,195.10001,199.60001,204.80000,209.80000,42.20000,0.66800,14.607
57,2,801.04431,0.83600,28.24119,646.48962,646.48962,0.36000,20.07617,1.97800,190.00000,194.80000,199.60001,204.80000,209.80000,42.40000,0.66400,14.612
58,2,801.04431,0.83200,28.24119,636.87238,636.87238,0.36000,20.07107,1.96400,189.80000,194.80000,199.80000,205.00000,209.80000,42.20000,0.66600,14.608
59,2,801.04431,0.94800,28.24119,649.11249,649.11249,0.36000,20.06598,1.98400,190.00000,194.80000,199.80000,205.00000,209.80000,42.50000,0.66000,14.608
60,2,801.04431,0.98200,28.24119,640.36957,640.36957,0.36000,20.05578,1.99400,190.00000,194.80000,199.80000,205.10001,209.80000,42.50000,0.66000,14.610
61,2,800.85986,0.92400,28.24119,635.31812,635.31812,0.36000,20.05069,1.97800,190.00000,194.60001,199.80000,205.00000,209.80000,42.50000,0.66200,14.608
62,2,800.67542,1.06400,28.24119,648.52960,648.52960,0.36000,20.10675,1.97200,190.10001,194.60001,199.80000,205.00000,209.80000,42.50000,0.66200,14.609
63,2,800.85986,0.79600,28.24119,639.68958,639.68958,0.36000,20.06088,1.96400,190.00000,194.80000,200.00000,205.00000,209.80000,42.70000,0.66400,14.609
64,2,800.85986,0.93600,28.24119,643.38104,643.38104,0.36000,20.07617,1.98600,190.10001,194.80000,199.80000,205.00000,209.80000,42.70000,0.66000,14.606
65,2,800.85986,0.86600,28.24119,645.80957,645.80957,0.36000,20.07107,1.97600,190.00000,195.00000,199.80000,204.80000,209.80000,42.70000,0.66400,14.610
66,2,800.67542,0.79200,28.24119,644.93530,644.93530,0.36000,20.02011,1.98200,190.00000,195.00000,200.00000,205.00000,209.80000,42.70000,0.66200,14.609
67,2,800.67542,0.88400,28.24119,639.30096,639.30096,0.36000,20.02520,1.97000,190.10001,195.10001,200.00000,205.00000,209.80000,42.90000,0.66200,14.608
68,2,800.67542,1.22200,28.24119,648.14105,648.14105,0.36000,20.04049,1.99400,190.10001,195.00000,200.10001,205.00000,209.80000,42.90000,0.66200,14.610
69,2,800.85986,1.09000,28.24119,642.11816,642.11816,0.36000,20.02011,1.98800,190.10001,194.80000,200.10001,205.00000,209.80000,43.00000,0.66600,14.612
70,2,800.67542,0.92200,28.24119,637.16382,637.06671,0.36000,20.00991,1.98400,190.10001,194.80000,200.00000,205.00000,209.80000,42.90000,0.66200,14.606
71,2,800.85986,1.08800,28.24119,646.39246,646.39246,0.36000,20.03030,2.00200,190.10001,195.00000,200.00000,205.00000,210.00000,43.00000,0.66200,14.612
72,2,800.85986,0.97600,28.24119,641.34100,641.34100,0.36000,20.07617,1.99200,190.10001,195.10001,200.10001,205.00000,210.00000,43.00000,0.66800,14.614
73,2,800.49097,0.82800,28.24119,641.72955,641.72955,0.36000,20.07617,1.98800,190.10001,195.00000,199.80000,205.00000,210.00000,43.20000,0.66200,14.609
74,2,800.85986,1.07600,28.24119,649.50104,649.50104,0.36000,20.07617,2.00000,190.10001,194.80000,200.10001,205.00000,210.00000,43.20000,0.66200,14.601
75,2,800.49097,0.87600,28.24119,646.68390,646.68390,0.36000,20.01501,1.99600,190.00000,194.80000,200.10001,205.00000,210.00000,43.00000,0.66000,14.604
76,2,800.67542,1.13200,28.24119,644.93530,644.93530,0.36000,20.03030,2.01000,190.10001,194.80000,200.10001,205.00000,210.00000,43.20000,0.66200,14.607
77,2,800.49097,0.90200,28.24119,646.68390,646.68390,0.36000,20.04049,2.00200,190.00000,194.60001,199.80000,205.00000,210.00000,43.20000,0.66400,14.609
78,2,800.30652,0.88000,28.24119,647.07245,647.07245,0.36000,20.08636,1.98000,189.80000,194.60001,199.80000,205.00000,210.00000,43.50000,0.66200,14.611
79,2,800.30652,0.94600,28.24119,660.28400,660.28400,0.36000,20.05578,1.99600,189.80000,194.80000,199.60001,205.00000,209.80000,43.50000,0.66200,14.606
80,2,800.85986,1.20600,28.24119,659.99255,659.99255,0.36000,20.07617,1.98200,190.00000,195.10001,199.80000,204.80000,209.80000,43.40000,0.66400,14.608
81,2,800.49097,0.86600,28.24119,656.88397,656.88397,0.36000,20.10165,1.99600,190.00000,195.10001,199.80000,204.80000,209.80000,43.50000,0.66200,14.602
82,2,800.49097,0.86600,28.24119,650.76392,650.76392,0.36000,20.08127,1.95800,190.00000,195.30000,200.00000,205.00000,209.80000,43.50000,0.66200,14.611
83,2,800.49097,0.86200,28.24119,660.96399,660.96399,0.36000,20.07107,1.99800,189.80000,195.30000,200.10001,205.00000,209.80000,43.70000,0.66600,14.616
84,2,800.49097,0.86400,28.24119,641.72955,641.43817,0.36000,20.10165,1.97600,189.80000,195.10001,200.00000,205.00000,209.80000,43.70000,0.66200,14.610
85,2,800.67542,0.88200,28.24119,639.20386,639.20386,0.36000,20.06598,1.97600,189.80000,195.30000,200.10001,205.00000,209.80000,43.70000,0.66400,14.610
86,2,800.30652,0.92200,28.24119,648.91821,648.91821,0.36000,20.10675,1.97200,189.80000,195.30000,200.00000,205.10001,210.00000,43.90000,0.66600,14.616
87,2,800.67542,0.93400,28.24119,646.00391,646.00391,0.36000,20.06598,1.99000,189.60001,195.10001,200.10001,205.00000,209.80000,43.90000,0.66200,14.610
88,2,800.67542,1.18800,28.24119,633.95807,633.95807,0.36000,20.13224,1.96000,189.80000,194.80000,200.00000,205.00000,209.80000,43.90000,0.66200,14.611
89,2,800.49097,0.81400,28.24119,633.66669,633.66669,0.36000,20.08636,1.96000,189.80000,194.80000,200.00000,205.00000,209.80000,43.70000,0.66400,14.607
90,2,800.30652,0.90000,28.24119,641.53528,641.53528,0.36000,20.09656,1.96200,189.80000,194.60001,199.80000,204.80000,209.80000,44.00000,0.66400,14.607
91,2,800.49097,0.83600,28.24119,637.94098,637.94098,0.36000,20.07617,1.96400,189.80000,194.50000,200.00000,204.80000,209.80000,43.90000,0.66600,14.615
92,2,800.30652,0.82800,28.24119,639.98102,639.98102,0.36000,20.04049,1.97600,190.00000,194.80000,200.10001,204.80000,209.80000,44.00000,0.66200,14.610
93,2,800.49097,0.84200,28.24119,650.76392,650.76392,0.36000,19.98443,1.99800,190.00000,194.60001,200.10001,205.00000,209.80000,44.00000,0.66400,14.604
94,2,800.49097,0.88000,28.24119,643.28387,643.28387,0.36000,19.98953,1.99200,190.10001,194.60001,200.00000,205.00000,209.80000,44.00000,0.66400,14.611
95,2,800.49097,0.83200,28.24119,645.71246,645.71246,0.36000,20.08127,1.98200,190.10001,194.60001,200.00000,205.10001,209.80000,44.00000,0.66200,14.605
96,2,800.49097,0.95800,28.24119,655.42682,655.42682,0.36000,20.03540,1.97200,190.10001,194.80000,200.00000,205.00000,209.80000,44.00000,0.66600,14.604
97,2,800.67542,1.34400,28.24119,662.90686,662.90686,0.36000,20.04049,1.98800,190.00000,195.10001,200.00000,205.00000,209.80000,44.00000,0.66600,14.611
98,2,800.30652,0.84400,28.24119,664.84973,664.84973,0.36000,20.02520,1.99000,190.00000,195.00000,199.80000,205.00000,210.00000,44.00000,0.66200,14.611
99,2,800.30652,0.83400,28.24119,657.66107,657.66107,0.36000,20.05578,1.97800,190.00000,195.10001,199.80000,204.80000,210.00000,44.00000,0.66200,14.601
100,2,800.49097,1.08800,28.24119,663.78113,663.78113,0.36000,20.05069,1.98600,190.00000,195.10001,199.80000,204.80000,209.80000,44.00000,0.66800,14.601
101,2,800.30652,0.89600,28.24119,656.10681,656.10681,0.36000,20.00482,1.97800,190.10001,194.80000,199.80000,204.80000,209.80000,44.20000,0.66600,14.607
102,2,800.30652,1.10400,28.24119,673.20404,673.20404,0.36000,20.04559,1.99600,189.80000,194.80000,199.80000,205.00000,209.80000,44.20000,0.66600,14.613
103,2,800.30652,1.08600,28.24119,666.11255,666.11255,0.36000,20.08636,1.98400,190.00000,195.00000,199.60001,205.00000,209.80000,44.20000,0.66600,14.598
104,2,800.49097,1.05200,28.24119,660.08966,660.08966,0.36000,19.98953,1.98600,190.00000,195.10001,199.80000,205.00000,209.80000,44.20000,0.66600,14.600
105,2,800.30652,0.97000,28.24119,665.62683,665.62683,0.36000,20.07617,2.00400,189.80000,195.10001,200.10001,205.00000,209.80000,44.20000,0.66400,14.600
106,2,800.30652,1.09600,28.24119,675.24408,675.24408,0.36000,20.06088,1.98400,189.80000,195.10001,200.00000,205.00000,209.80000,44.20000,0.66800,14.601
107,2,800.30652,1.18400,28.24119,672.03833,672.03833,0.36000,20.08127,1.98600,189.60001,195.10001,200.10001,204.80000,209.80000,44.40000,0.66200,14.594
108,2,800.49097,1.03600,28.24119,671.55261,671.55261,0.36000,20.04049,1.98600,189.80000,195.30000,200.10001,205.00000,209.80000,44.20000,0.66400,14.604
109,2,799.93762,0.95200,28.24119,667.66687,667.66687,0.36000,20.08127,1.97400,189.80000,195.30000,200.00000,205.00000,209.80000,44.40000,0.66200,14.610
110,2,800.12207,0.88000,28.24119,675.04980,675.04980,0.36000,19.99462,1.98200,189.80000,195.30000,199.80000,205.00000,210.00000,44.50000,0.66600,14.610
111,2,800.30652,0.79000,28.24119,670.38690,670.38690,0.36000,20.09656,1.97600,189.80000,195.30000,200.10001,205.00000,209.80000,44.50000,0.66200,14.614
112,2,800.30652,0.92200,28.24119,670.19263,670.19263,0.36000,20.08636,1.96000,189.80000,195.30000,200.10001,205.00000,210.00000,44.50000,0.66800,14.608
113,2,800.12207,1.12200,28.24119,672.42688,672.42688,0.36000,20.10165,1.98400,189.80000,195.30000,200.00000,205.00000,210.00000,44.50000,0.66200,14.605
114,2,800.12207,0.89200,28.24119,655.23248,655.23248,0.36000,20.08127,1.98000,189.80000,195.10001,200.10001,205.00000,210.00000,44.50000,0.66400,14.606
115,2,800.12207,0.95000,28.24119,668.63831,668.63831,0.36000,20.11695,1.97400,189.60001,194.80000,200.10001,205.00000,210.00000,44.50000,0.66400,14.605
116,2,800.12207,1.00600,28.24119,655.81537,655.81537,0.36000,20.08636,1.96000,189.80000,195.10001,200.00000,205.00000,210.00000,44.50000,0.66400,14.605
117,2,799.93762,1.19000,28.24119,660.28400,660.28400,0.36000,20.13224,1.96600,189.80000,195.10001,200.10001,205.00000,210.00000,44.50000,0.66200,14.602
118,2,799.75317,0.92000,28.24119,663.78113,663.78113,0.36000,20.10165,1.96800,189.80000,195.10001,200.00000,204.80000,210.00000,44.50000,0.66400,14.607
119,2,799.93762,0.89000,28.24119,642.50671,642.50671,0.36000,20.10675,1.95000,190.00000,195.10001,200.00000,204.80000,209.80000,44.70000,0.66200,14.606
120,2,799.93762,0.75600,28.24119,648.91821,648.91821,0.36000,20.05578,1.97600,190.10001,195.10001,199.80000,204.80000,209.80000,44.70000,0.66600,14.608
121,2,799.93762,1.33800,28.24119,652.70679,652.70679,0.36000,20.05578,1.97400,190.10001,194.80000,199.80000,205.00000,209.80000,44.70000,0.66800,14.598
122,2,799.75317,0.82800,28.24119,664.46112,664.46112,0.36000,20.09146,1.98000,190.00000,194.60001,199.80000,205.00000,209.80000,44.70000,0.66600,14.601
123,2,799.75317,0.87800,28.24119,659.50684,659.50684,0.36000,20.05069,1.97000,189.80000,194.80000,199.80000,205.00000,209.80000,44.70000,0.66400,14.598
124,2,799.75317,0.93400,28.24119,666.69543,666.69543,0.36000,20.05069,1.98200,190.00000,194.60001,199.80000,205.00000,209.80000,44.70000,0.66200,14.600
125,2,799.93762,1.14600,28.24119,669.41547,669.41547,0.36000,20.06598,1.98600,189.80000,194.60001,199.80000,205.00000,210.00000,44.90000,0.66400,14.601
126,2,799.75317,0.91000,28.24119,669.90118,669.60974,0.36000,20.08127,1.98000,189.80000,194.60001,199.80000,205.00000,210.00000,44.90000,0.66200,14.603
127,2,799.93762,0.95000,28.24119,671.45544,671.35834,0.36000,20.07617,1.97600,189.80000,194.60001,199.80000,205.00000,209.80000,44.90000,0.66600,14.602
128,2,799.56873,1.26200,28.24119,678.44977,678.44977,0.36000,20.08636,1.98200,189.80000,194.60001,199.80000,204.80000,209.80000,45.00000,0.66200,14.602
129,2,799.56873,1.27800,28.24119,669.02686,669.02686,0.36000,20.09656,1.97000,189.80000,194.60001,199.80000,205.00000,209.80000,45.00000,0.66200,14.602
130,2,799.56873,1.07200,28.24119,664.07257,664.07257,0.36000,20.08636,1.97000,189.80000,194.80000,199.80000,205.00000,209.80000,45.00000,0.66400,14.599
131,2,799.75317,0.92600,28.24119,671.74689,671.74689,0.36000,20.05578,1.97200,189.80000,194.80000,199.80000,205.00000,209.80000,45.20000,0.66200,14.601
132,2,799.75317,1.09600,28.24119,690.68988,690.68988,0.36000,20.08636,1.98000,189.80000,195.00000,199.80000,205.00000,209.80000,45.00000,0.66600,14.602
133,2,799.75317,0.86800,28.24119,668.83258,668.83258,0.36000,20.07617,1.97600,189.80000,195.00000,199.80000,205.00000,210.00000,45.20000,0.66000,14.597
134,2,799.56873,0.84000,28.24119,674.85547,674.85547,0.36000,20.11695,1.98200,189.60001,194.80000,199.80000,205.00000,210.00000,45.20000,0.66400,14.592
135,2,799.75317,1.03800,28.24119,680.39264,680.39264,0.36000,20.10675,1.96800,189.60001,194.80000,200.10001,205.00000,210.00000,45.20000,0.66800,14.601
136,2,799.75317,1.09800,28.24119,672.03833,672.03833,0.36000,20.08636,1.97400,189.60001,194.80000,199.80000,205.00000,210.00000,45.20000,0.66400,14.595
137,2,799.75317,1.46000,28.24119,673.78693,673.78693,0.36000,20.09146,1.97000,189.80000,195.10001,200.10001,205.00000,209.80000,45.20000,0.66400,14.599
138,2,799.56873,0.96200,28.24119,683.59839,683.59839,0.36000,20.06598,1.98200,189.80000,195.00000,200.10001,205.00000,209.80000,45.40000,0.66600,14.599
139,2,799.56873,0.85600,28.24119,672.81549,672.52405,0.36000,20.06088,1.97200,189.80000,195.10001,200.10001,205.00000,209.80000,45.20000,0.66600,14.604
140,2,799.75317,1.85000,28.24119,669.90118,669.90118,0.36000,20.07107,1.99000,190.00000,195.30000,200.00000,205.00000,209.80000,45.40000,0.66600,14.594
141,2,799.56873,0.80800,28.24119,676.79834,676.79834,0.36000,20.13224,1.97800,190.10001,195.10001,200.00000,205.00000,210.00000,45.40000,0.66200,14.601
142,2,799.75317,0.88800,28.24119,673.00977,673.00977,0.36000,20.02520,1.98200,190.10001,195.10001,199.80000,205.00000,210.00000,45.40000,0.66200,14.600
143,2,799.38428,0.77400,28.24119,673.78693,673.78693,0.36000,20.09656,1.98200,190.10001,195.10001,200.00000,205.00000,210.00000,45.40000,0.66600,14.600
144,2,799.56873,0.84000,28.24119,674.07837,674.07837,0.36000,20.09146,1.97600,190.30000,195.10001,199.80000,205.00000,210.00000,45.40000,0.66200,14.601
145,2,799.56873,0.79800,28.24119,660.18683,660.18683,0.36000,20.03540,1.97000,190.10001,194.80000,199.80000,205.00000,209.80000,45.40000,0.66200,14.598
146,2,799.56873,0.83800,28.24119,676.60406,676.60406,0.36000,20.03540,2.00000,190.10001,194.80000,199.80000,205.00000,209.80000,45.50000,0.66200,14.596
147,2,799.93762,1.09400,28.24119,667.08398,666.98688,0.36000,20.05578,1.98400,190.30000,194.80000,199.80000,205.00000,209.80000,45.50000,0.66200,14.599
148,2,799.56873,0.80400,28.24119,672.23260,672.23260,0.36000,20.06088,1.98600,190.30000,194.60001,199.80000,205.00000,209.80000,45.50000,0.66800,14.608
149,2,799.75317,1.10600,28.24119,670.67834,670.67834,0.36000,20.09146,1.99000,190.30000,194.50000,199.80000,204.80000,209.80000,45.50000,0.66600,14.606
150,2,799.56873,0.96600,28.24119,676.02118,676.02118,0.36000,20.03540,1.98800,190.10001,194.80000,199.80000,205.00000,209.80000,45.50000,0.66400,14.601
151,2,799.56873,0.87600,28.24119,675.53546,675.53546,0.36000,20.06088,1.99200,190.10001,194.80000,199.80000,205.00000,209.80000,45.50000,0.66400,14.595
152,2,799.56873,1.17800,28.24119,671.64978,671.64978,0.36000,20.09656,1.99400,190.00000,194.80000,199.60001,205.00000,209.80000,45.50000,0.66600,14.604
153,2,799.56873,0.90400,28.24119,678.93549,678.93549,0.36000,20.09146,1.97800,190.00000,195.00000,199.60001,205.00000,209.80000,45.50000,0.66400,14.602
154,2,799.56873,1.04800,28.24119,673.39832,673.39832,0.36000,20.07617,1.99400,190.00000,195.10001,199.80000,205.00000,209.80000,45.70000,0.66400,14.593
155,2,799.75317,1.18200,28.24119,675.92407,675.92407,0.36000,20.07107,1.99000,189.80000,195.00000,200.10001,205.00000,209.80000,45.50000,0.66600,14.597
156,2,799.56873,1.02000,28.24119,685.54126,685.54126,0.36000,20.04049,2.00200,189.60001,194.80000,199.80000,205.00000,209.80000,45.70000,0.66400,14.596
157,2,799.19983,0.75400,28.24119,673.68976,673.68976,0.36000,20.05578,1.97800,189.60001,194.80000,199.80000,205.00000,209.80000,45.50000,0.66400,14.603
158,2,799.56873,0.89400,28.24119,672.32977,672.32977,0.36000,20.07617,1.98600,189.80000,194.50000,199.80000,205.00000,209.80000,45.50000,0.66800,14.593
159,2,799.75317,1.07600,28.24119,667.76404,667.76404,0.36000,20.10675,1.98000,189.80000,194.80000,200.00000,205.00000,209.80000,45.50000,0.66200,14.600
160,2,799.75317,0.92600,28.24119,678.54694,678.54694,0.36000,20.09656,1.98200,190.00000,194.80000,200.00000,205.00000,209.80000,45.50000,0.66200,14.598
161,2,799.75317,0.97000,28.24119,676.40979,676.40979,0.36000,20.05578,1.99000,190.00000,195.00000,199.80000,205.00000,209.80000,45.50000,0.66400,14.598
162,2,799.56873,1.10800,28.24119,690.30127,690.10699,0.36000,20.11695,1.98800,190.00000,195.10001,200.00000,204.80000,209.80000,45.20000,0.66200,14.601
163,2,799.38428,0.79600,28.24119,687.48413,686.99841,0.36000,20.08127,2.00600,190.00000,195.00000,199.80000,204.80000,209.80000,45.50000,0.66400,14.606
164,2,799.19983,0.83000,28.24119,683.30695,683.30695,0.36000,20.09656,1.97800,190.00000,194.80000,199.60001,205.00000,209.80000,45.20000,0.66200,14.595
165,2,799.19983,0.83200,28.24119,690.20416,690.20416,0.36000,20.08127,1.99600,190.00000,195.00000,199.80000,205.00000,209.80000,45.20000,0.66400,14.595
166,2,799.38428,1.16600,28.24119,688.16412,688.16412,0.36000,20.06088,2.00200,190.00000,195.10001,200.00000,205.00000,209.80000,45.20000,0.66800,14.599
